Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1961,1961,ha,10,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1962,1962,ha,11,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1990,1990,ha,0,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1991,1991,ha,0,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1992,1992,ha,1,E,Estimated value
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1993,1993,ha,0,I,Imputed value
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1994,1994,ha,0,I,Imputed value
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1995,1995,ha,0,E,Estimated value
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1996,1996,ha,0,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1997,1997,ha,0,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1998,1998,ha,0,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,1999,1999,ha,0,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2000,2000,ha,0,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2001,2001,ha,0,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2002,2002,ha,294,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2003,2003,ha,364,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2004,2004,ha,401,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2005,2005,ha,346,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2006,2006,ha,562,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2007,2007,ha,449,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2008,2008,ha,296,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2009,2009,ha,356,A,Official figure
QCL,Crops and livestock products,11,Austria,5312,Area harvested,777,True hemp raw or retted,2010,2010,ha,540,A,Official figure
